amount,date
7,2011-07-02T00:00:00
32,2011-07-02T00:00:00
15,2011-07-02T00:00:00
35,2011-07-02T00:00:00
13,2011-07-03T00:00:00
4,2011-07-03T00:00:00
6,2011-07-03T00:00:00
4,2011-07-03T00:00:00
7,2011-07-04T00:00:00
10,2011-07-04T00:00:00
12,2011-07-04T00:00:00
30,2011-07-04T00:00:00
9,2011-07-04T00:00:00
3,2011-07-05T00:00:00
7,2011-07-05T00:00:00
11,2011-07-06T00:00:00
5,2011-07-06T00:00:00
6,2011-07-07T00:00:00
45,2011-07-07T00:00:00
7,2011-07-09T00:00:00
5,2011-07-10T00:00:00
9,2011-07-10T00:00:00
33,2011-07-10T00:00:00
2,2011-07-10T00:00:00
8,2011-07-10T00:00:00
20,2011-07-12T00:00:00
5,2011-07-12T00:00:00
5,2011-07-12T00:00:00
10,2011-07-13T00:00:00
6,2011-07-13T00:00:00
4,2011-07-15T00:00:00
6,2011-07-15T00:00:00
10,2011-07-15T00:00:00
34,2011-07-16T00:00:00
6,2011-07-16T00:00:00
5,2011-07-16T00:00:00
40,2011-07-16T00:00:00
10,2011-07-16T00:00:00
60,2011-07-16T00:00:00
6,2011-07-16T00:00:00
3,2011-07-16T00:00:00
9,2011-07-16T00:00:00
11,2011-07-16T00:00:00
5,2011-07-16T00:00:00
36,2011-07-17T00:00:00
10,2011-07-17T00:00:00
10,2011-07-17T00:00:00
20,2011-07-17T00:00:00
8,2011-07-17T00:00:00
5,2011-07-19T00:00:00
5,2011-07-19T00:00:00
9,2011-07-19T00:00:00
6,2011-07-19T00:00:00
2,2011-07-19T00:00:00
17,2011-07-19T00:00:00
6,2011-07-20T00:00:00
10,2011-07-20T00:00:00
8,2011-07-21T00:00:00
5,2011-07-21T00:00:00
3,2011-07-21T00:00:00
6,2011-07-22T00:00:00
20,2011-07-22T00:00:00
9,2011-07-22T00:00:00
52,2011-07-24T00:00:00
6,2011-07-24T00:00:00
7,2011-07-24T00:00:00
10,2011-07-24T00:00:00
25,2011-07-25T00:00:00
5,2011-07-25T00:00:00
8,2011-07-25T00:00:00
6,2011-07-25T00:00:00
10,2011-07-25T00:00:00
6,2011-07-25T00:00:00
290,2011-07-25T00:00:00
4,2011-07-26T00:00:00
15,2011-07-26T00:00:00
3,2011-07-27T00:00:00
4,2011-07-27T00:00:00
3,2011-07-28T00:00:00
25,2011-07-28T00:00:00
8,2011-07-28T00:00:00
15,2011-07-30T00:00:00
5,2011-07-30T00:00:00
17,2011-07-30T00:00:00
10,2011-07-31T00:00:00
16,2011-07-31T00:00:00
42,2011-07-31T00:00:00
2,2011-07-31T00:00:00
50,2011-08-01T00:00:00
80,2011-08-01T00:00:00
5,2011-08-01T00:00:00
6,2011-08-01T00:00:00
6,2011-08-02T00:00:00
10,2011-08-04T00:00:00
18,2011-08-04T00:00:00
3,2011-08-04T00:00:00
12,2011-08-05T00:00:00
9,2011-08-05T00:00:00
3,2011-08-05T00:00:00
3,2011-08-06T00:00:00
15,2011-08-06T00:00:00
5,2011-08-06T00:00:00
4,2011-08-07T00:00:00
5,2011-08-07T00:00:00
4,2011-08-08T00:00:00
12,2011-08-08T00:00:00
7,2011-08-10T00:00:00
150,2011-08-10T00:00:00
13,2011-08-11T00:00:00
5,2011-08-11T00:00:00
70,2011-08-11T00:00:00
6,2011-08-11T00:00:00
2,2011-08-11T00:00:00
5,2011-08-11T00:00:00
5,2011-08-11T00:00:00
3,2011-08-11T00:00:00
10,2011-08-11T00:00:00
5,2011-08-14T00:00:00
3,2011-08-14T00:00:00
10,2011-08-14T00:00:00
180,2011-08-14T00:00:00
6,2011-08-17T00:00:00
10,2011-08-17T00:00:00
6,2011-08-18T00:00:00
20,2011-08-20T00:00:00
342,2011-08-20T00:00:00
2,2011-08-20T00:00:00
3,2011-08-20T00:00:00
10,2011-08-20T00:00:00
15,2011-08-20T00:00:00
14,2011-08-20T00:00:00
3,2011-08-21T00:00:00
5,2011-08-23T00:00:00
15,2011-08-23T00:00:00
17,2011-08-23T00:00:00
20,2011-08-24T00:00:00
4,2011-08-24T00:00:00
3,2011-08-24T00:00:00
6,2011-08-25T00:00:00
40,2011-08-25T00:00:00
2,2011-08-25T00:00:00
2,2011-08-25T00:00:00
6,2011-08-25T00:00:00
16,2011-08-26T00:00:00
21,2011-08-26T00:00:00
12,2011-08-27T00:00:00
7,2011-08-27T00:00:00
18,2011-08-27T00:00:00
5,2011-08-28T00:00:00
5,2011-08-28T00:00:00
7,2011-08-28T00:00:00
5,2011-08-28T00:00:00
10,2011-08-28T00:00:00
12,2011-08-28T00:00:00
7,2011-08-28T00:00:00
2,2011-08-28T00:00:00
3,2011-08-28T00:00:00
6,2011-08-29T00:00:00
4,2011-08-30T00:00:00
3,2011-09-03T00:00:00
7,2011-09-03T00:00:00
3,2011-09-03T00:00:00
8,2011-09-03T00:00:00
38,2011-09-03T00:00:00
50,2011-09-03T00:00:00
19,2011-09-03T00:00:00
37,2011-09-03T00:00:00
10,2011-09-03T00:00:00
8,2011-09-04T00:00:00
12,2011-09-04T00:00:00
5,2011-09-05T00:00:00
8,2011-09-06T00:00:00
5,2011-09-06T00:00:00
2,2011-09-06T00:00:00
4,2011-09-07T00:00:00
370,2011-09-07T00:00:00
3,2011-09-08T00:00:00
3,2011-09-09T00:00:00
5,2011-09-09T00:00:00
30,2011-09-10T00:00:00
2,2011-09-13T00:00:00
50,2011-09-13T00:00:00
33,2011-09-13T00:00:00
6,2011-09-13T00:00:00
18,2011-09-13T00:00:00
18,2011-09-13T00:00:00
12,2011-09-14T00:00:00
4,2011-09-15T00:00:00
3,2011-09-16T00:00:00
10,2011-09-16T00:00:00
5,2011-09-18T00:00:00
6,2011-09-18T00:00:00
4,2011-09-18T00:00:00
9,2011-09-18T00:00:00
13,2011-09-20T00:00:00
8,2011-09-20T00:00:00
3,2011-09-20T00:00:00
9,2011-09-22T00:00:00
5,2011-09-22T00:00:00
20,2011-09-22T00:00:00
7,2011-09-22T00:00:00
14,2011-09-23T00:00:00
4,2011-09-24T00:00:00
14,2011-09-25T00:00:00
180,2011-10-01T00:00:00
50,2011-10-01T00:00:00
11,2011-10-02T00:00:00
5,2011-10-02T00:00:00
1,2011-10-02T00:00:00
23,2011-10-04T00:00:00
3,2011-10-04T00:00:00
7,2011-10-04T00:00:00
5,2011-10-08T00:00:00
5,2011-10-08T00:00:00
8,2011-10-08T00:00:00
5,2011-10-08T00:00:00
4,2011-10-08T00:00:00
90,2011-10-09T00:00:00
370,2011-10-09T00:00:00
10,2011-10-09T00:00:00
19,2011-10-13T00:00:00
6,2011-10-13T00:00:00
